timestamp,open,high,low,close,volume
2011-03-20,524.03,524.03,524.03,524.03,0.0
2011-03-25,540.47,540.47,540.47,540.47,0.0
2011-03-27,538.12,538.12,538.12,538.12,0.0
2011-03-28,528.73,528.73,528.73,528.73,0.0
2011-03-29,522.85,522.85,522.85,522.85,0.0
2011-03-30,524.03,524.03,524.03,524.03,0.0
2011-04-04,534.6,534.6,534.6,534.6,0.0
2011-04-05,535.77,535.77,535.77,535.77,0.0
2011-04-07,540.47,540.47,540.47,540.47,0.0
2011-04-10,540.47,540.47,540.47,540.47,0.0
2011-04-11,539.3,539.3,539.3,539.3,0.0
2011-04-13,552.22,552.22,552.22,552.22,0.0
2011-04-20,547.52,547.52,547.52,547.52,0.0
2011-04-27,511.11,511.11,511.11,511.11,0.0
2011-04-28,501.71,501.71,501.71,501.71,0.0
2011-05-02,478.22,478.22,478.22,478.22,0.0
2011-05-03,468.82,468.82,468.82,468.82,0.0
2011-05-04,477.04,477.04,477.04,477.04,0.0
2011-05-05,472.34,472.34,472.34,472.34,0.0
2011-05-08,477.04,477.04,477.04,477.04,0.0
2011-05-10,477.04,477.04,477.04,477.04,0.0
2011-05-11,475.87,475.87,475.87,475.87,0.0
2011-05-12,479.39,479.39,479.39,479.39,0.0
2011-05-15,477.04,477.04,477.04,477.04,0.0
2011-05-16,475.87,475.87,475.87,475.87,0.0
2011-05-18,477.04,477.04,477.04,477.04,0.0
2011-05-19,474.69,474.69,474.69,474.69,0.0
2011-05-22,473.52,473.52,473.52,473.52,0.0
2011-05-23,469.99,469.99,469.99,469.99,0.0
2011-05-24,468.82,468.82,468.82,468.82,0.0
2011-05-25,468.82,468.82,468.82,468.82,0.0
2011-05-26,486.44,486.44,486.44,486.44,0.0
2011-05-30,472.34,472.34,472.34,472.34,0.0
2011-05-31,464.12,464.12,464.12,464.12,0.0
2011-06-01,468.82,468.82,468.82,468.82,0.0
2011-06-02,468.82,468.82,468.82,468.82,0.0
2011-06-05,458.25,458.25,458.25,458.25,0.0
2011-06-06,452.37,452.37,452.37,452.37,0.0
2011-06-07,446.5,446.5,446.5,446.5,0.0
2011-06-08,434.76,434.76,434.76,434.76,0.0
2011-06-09,434.76,434.76,434.76,434.76,0.0
2011-06-12,430.06,430.06,430.06,430.06,0.0
2011-06-13,442.98,442.98,442.98,442.98,0.0
2011-06-14,444.15,444.15,444.15,444.15,0.0
2011-06-15,441.8,441.8,441.8,441.8,0.0
2011-06-16,460.6,460.6,460.6,460.6,0.0
2011-06-20,487.61,487.61,487.61,487.61,0.0
2011-06-21,493.49,493.49,493.49,493.49,0.0
2011-06-23,521.68,521.68,521.68,521.68,0.0
2011-06-26,472.34,472.34,472.34,472.34,0.0
2011-06-27,447.68,447.68,447.68,447.68,0.0
2011-06-29,452.37,452.37,452.37,452.37,0.0
2011-06-30,486.44,486.44,486.44,486.44,0.0
2011-07-03,469.99,469.99,469.99,469.99,0.0
2011-07-04,475.87,475.87,475.87,475.87,0.0
2011-07-05,486.44,486.44,486.44,486.44,0.0
2011-07-06,493.49,493.49,493.49,493.49,0.0
2011-07-07,469.99,469.99,469.99,469.99,0.0
2011-07-10,485.26,485.26,485.26,485.26,0.0
2011-07-11,469.99,469.99,469.99,469.99,0.0
2011-07-12,487.61,487.61,487.61,487.61,0.0
2011-07-13,485.26,485.26,485.26,485.26,0.0
2011-07-14,492.31,492.31,492.31,492.31,0.0
2011-07-17,511.11,511.11,511.11,511.11,0.0
2011-07-18,499.36,499.36,499.36,499.36,0.0
2011-07-19,499.36,499.36,499.36,499.36,0.0
2011-07-20,515.8,515.8,515.8,515.8,0.0
2011-07-21,501.71,501.71,501.71,501.71,0.0
2011-07-24,487.61,487.61,487.61,487.61,0.0
2011-07-25,487.61,487.61,487.61,487.61,0.0
2011-07-26,487.61,487.61,487.61,487.61,0.0
2011-07-27,491.14,491.14,491.14,491.14,0.0
2011-07-28,485.26,485.26,485.26,485.26,0.0
2011-07-31,489.96,489.96,489.96,489.96,0.0
2011-08-01,487.61,487.61,487.61,487.61,0.0
2011-08-02,487.61,487.61,487.61,487.61,0.0
2011-08-03,486.44,486.44,486.44,486.44,0.0
2011-08-04,498.19,498.19,498.19,498.19,0.0
2011-08-07,479.39,479.39,479.39,479.39,0.0
2011-08-08,481.74,481.74,481.74,481.74,0.0
2011-08-09,475.87,475.87,475.87,475.87,0.0
2011-08-10,481.74,481.74,481.74,481.74,0.0
2011-08-11,481.74,481.74,481.74,481.74,0.0
2011-08-15,479.39,479.39,479.39,479.39,0.0
2011-08-16,487.61,487.61,487.61,487.61,0.0
2011-08-17,481.74,481.74,481.74,481.74,0.0
2011-08-18,487.61,487.61,487.61,487.61,0.0
2011-08-22,480.57,480.57,480.57,480.57,0.0
2011-08-23,481.74,481.74,481.74,481.74,0.0
2011-08-24,484.09,484.09,484.09,484.09,0.0
2011-08-25,481.74,481.74,481.74,481.74,0.0
2011-08-28,475.87,475.87,475.87,475.87,0.0
2011-08-29,481.74,481.74,481.74,481.74,0.0
2011-08-30,481.74,481.74,481.74,481.74,0.0
2011-09-01,493.49,493.49,493.49,493.49,0.0
2011-09-04,492.31,492.31,492.31,492.31,0.0
2011-09-05,488.79,488.79,488.79,488.79,0.0
2011-09-06,482.92,482.92,482.92,482.92,0.0
2011-09-07,482.92,482.92,482.92,482.92,0.0
2011-09-08,482.92,482.92,482.92,482.92,0.0
2011-09-12,480.57,480.57,480.57,480.57,0.0
2011-09-13,478.22,478.22,478.22,478.22,0.0
2011-09-14,472.34,472.34,472.34,472.34,0.0
2011-09-15,475.87,475.87,475.87,475.87,0.0
2011-09-18,472.34,472.34,472.34,472.34,0.0
2011-09-19,469.99,469.99,469.99,469.99,0.0
2011-09-20,472.34,472.34,472.34,472.34,0.0
2011-09-21,481.74,481.74,481.74,481.74,0.0
2011-09-22,481.74,481.74,481.74,481.74,0.0
2011-09-25,487.61,487.61,487.61,487.61,0.0
2011-09-26,492.31,492.31,492.31,492.31,0.0
2011-09-27,487.61,487.61,487.61,487.61,0.0
